tweet_id,author_id
552784600502915072,331658004
552784898743099392,465973
552785391653494784,15798091
552786116404072448,465973
552786299875520512,144301368
552786340958715904,5867842
552787144373460992,16525194
552787144415404032,9651232
552787321561812992,23949317
552787361437057024,15348883
552787599031828480,64643056
552787914271510529,23190207
552788007603142656,102420077
552788555584765952,459390022
552788720236376064,15438913
552789196906459136,17152053
552789252690706432,13753642
552789443644751872,305134471
552789550238801920,801629904
552789583260577792,29242390
552789886202175490,16931360
552790565642067968,2579312316
552790598823186432,6473022
552790695036321793,2175876524
552791159232540673,973005421
552791203432103937,16973333
552791332935434242,459390022
552791414388424704,40641691
552791678881660928,25058787
552791719272775680,16076032
552791831390732289,2653613168
552792131447037952,228480162
552792253601947648,19341389
552792518870708224,249108233
552793409438904321,154485832
552793759210307584,23583267
552794286849536001,5402612
552794514424102913,7587032
552794995942772736,221517172
552795056080691200,64643056
552795778922864640,973005421
552795953301045248,25067168
552796269069209600,64643056
552796506642591744,148653311
552796522904297472,128364810
552796619104866304,1125937411
552796625467621376,20548283
552796895513681920,868112707
552797058990870528,11345012
552797114863198208,442653867
552797148975464448,216299334
552797154692300800,36048614
552797170295144449,243318995
552797729504886784,18991263
552797828977029120,14700117
552798010196107264,2097571
552798016646942721,18668407
552798200990806016,2410816488
552798310889566209,27457454
552798640679702528,431969214
552798832359374849,194042592
552799100715167744,14173315
552799606833430528,239503657
552799669521481728,17027378
552800070199148544,60296618
552800222553079809,558040899
552800223496790018,49444292
552800290861510656,501768982
552800929519792128,2772386567
552801028262096896,1367531
552801115516186625,308167013
552801667855695873,15438913
552801724898226176,47685065
552801894092275712,55195680
552801979861598208,239885144
552802011733716992,38800236
552802098602319873,50348344
552802099331735552,70467062
552802117908697088,18725815
552802515969138688,7587032
552802531672588288,136359464
552802714816905216,299416026
552803413583360001,50306637
552803431702749184,44425241
552803757864787968,1851229334
552803792618799106,154485832
552804175310901248,367709007
552804198161854464,23570520
552804301316579330,174253648
552804328319504384,807095
552804454773567488,374712154
552804491821854720,130557513
552804592988479488,225235528
552804769241526272,213326209
552804784819154944,568143078
552804810463117312,31135856
552804962158514176,299378671
552805050620604418,16343974
552805069956329472,417419122
552805169206157312,239170356
552805175874686977,21749564
552805209424941058,27571535
552805450350362625,1707427058
552805638024077312,469509327
552805799106732032,15438913
552805830677258240,30886757
552805853762699264,23052167
552805956619628544,20639175
552805970536333314,18725815
552806056154644480,428140124
552806077755326464,87818409
552806462125506560,14700316
552806610490646528,18725815
552806624046641153,21368060
552806890498191361,106431823
552806932176977920,109001491
552807013764575232,742143
552807054268956673,107210124
552807071054184448,180414031
552807101442322432,20646711
552807191775043585,48956231
552807236339507200,2222123156
552807328287064065,22369602
552807536894947329,50295156
552807582113730560,2435652986
552807598966059008,47448886
552807658869493760,18725815
552807783385800705,428333
552807832257835008,4970411
552807874192482305,15557246
552807904597008385,403576718
552808135006887937,67725191
552808138127446016,634454063
552808242276229120,143145579
552808461940301825,611585332
552808487924011008,224682566
552808658510561280,6361512
552808669646036992,50221275
552808701065953280,15754281
552808776492130304,21282561
552808785329549313,42467881
552809042687819776,265321840
552809336360419329,292777349
552809902956367872,483930658
552810032765497345,2736449935
552810124776308736,125753608
552810166744547328,17672825
552810249263259649,18696855
552810276635291649,464854839
552810287695659009,16973333
552810359409897472,18650093
552810477940932609,46017944
552810625873633280,413157362
552810805243412481,63863854
552810855503757313,17537467
552810884029222912,83795099
552811128326475776,1878576403
552811254667288576,168828976
552811319079227393,788524
552811354323963904,7589572
552811408094945280,7587032
552811438994378754,20098015
552811533303296001,210951599
552811606640721921,147994804
552811735183552512,64643056
552811772038881280,15754281
552812020295532544,130468394
552812040926941185,41542581
552812098057936896,242314631
552812140479148032,65045121
552812188315172864,868112707
552812399997489152,759251
552812416485294080,383685824
552812475134275584,18725815
552812572731527168,46078438
552812623658762240,540628749
552812775907422209,1934989190
552812811651272705,20052487
552812847651377153,101022951
552812951208722432,87818409
552812984343330816,25235151
552813011803836416,607082634
552813155572006912,315163250
552813160110252032,431969214
552813223360352256,18696855
552813420136128513,99786592
552813590919778304,122557484
552813988644659200,18650093
552814076167213056,18021754
552814130827370498,12716032
552814137857036289,607082634
552814213081866240,64643056
552814216550563840,19530437
552814280471367680,532779460
552814317096407040,19341389
552814382338826240,152646096
552814410763603968,51440872
552814460193476609,87818409
552814566594576386,76388579
552814627399012352,27457454
552814766369284097,19348870
552814770542628865,17537467
552814845016694786,25067168
552814916567322624,246860689
552814974511628289,788524
552814978823385088,520011678
552814983797821440,607082634
552815017402589184,7587032
552815091331366912,150400398
552815122897727488,157009365
552815293349650433,153029181
552815332931665921,18725815
552815387759616000,299416026
552815443959091200,19906615
552815575672836096,17383707
552815682241691648,14173315
552815712327454720,20748745
552815712432316417,479793246
552815993165467649,16012783
552816010752167936,856010760
552816062593761280,48705816
552816233796894720,236488883
552816288612225024,14138785
552816288935202817,1068121346
552816497740251136,19814041
552816539175763969,3108351
552816561514635264,788524
552816590463315968,2597413135
552816686752358401,47942585
552816689386373121,17995040
552816883012239360,244181007
552816933851394048,17175213
552817061203050496,5402612
552817146166652928,617854798
552817151112142848,87818409
552817205982019584,338335964
552817293969739778,254873869
552817367995002880,793879086
552817391181103104,33464913
552817490263572480,19150955
552817675408523264,16973333
552817711617552385,635608354
552817759684665345,89185283
552817769604198400,480079436
552817783910961152,22662704
552817785949396992,280346532
552817918220984320,164397041
552818300041052160,3108351
552818301530025984,76135109
552818309050421250,7874982
552818334643658752,2758691533
552818368487911425,157449860
552818685526933505,46078438
552818799095730176,358127438
552818868604129280,20136892
552818870281850881,33388399
552818922798727168,228871317
552818988468944897,16973333
552819064301961216,10102272
552819155859431424,17537467
552819208212717568,2270640056
552819316702199811,36311109
552819350504493057,2097571
552819474320359425,19391273
552819569103220736,47624589
552819649599897601,1769646126
552819824007872512,136359464
552819936343883776,1562935142
552819983915700224,17152053
552819986834923520,283969754
552820025409941506,108884788
552820150345297921,28839148
552820156980670464,1367531
552820265994829824,335177549
552820331204055041,16567644
552820384039706624,313675516
552820533507944448,352036858
552820575752974336,1994321
552820735513612288,114479860
552820842544246784,46078438
