author,created_at,followers,following,verified,verified_type,followers_impact,ffproportion
350628549,2011-08-08 02:25:47+00:00,351369,44,False,none,0.002268758722521392,0.9998747912000979

2602158362,2014-07-03 19:42:59+00:00,480685,4,False,none,0.0031037407583913075,0.9999916786113267

22940219,2009-03-05 16:33:48+00:00,22198086,0,True,blue,0.14333108850177448,1.0

27260086,2009-03-28 16:41:22+00:00,111753513,276960,True,blue,0.7215826023102715,0.9975278154899873

813286,2007-03-05 22:08:25+00:00,131942569,551670,True,blue,0.8519415608395465,0.9958362717944287

1339835893,2013-04-09 18:04:35+00:00,31309011,985,True,blue,0.20215952972450107,0.9999685403984082

1636590253,2013-07-31 22:41:25+00:00,14232228,70,True,blue,0.0918962441647191,0.9999950816094492

50393960,2009-06-24 18:44:10+00:00,63558857,581,True,blue,0.4103939482772807,0.9999908589500115

215952307,2010-11-15 11:40:04+00:00,10583116,2486,True,blue,0.0683342489987896,0.9997651527045888

266135518,2011-03-14 18:36:41+00:00,8933291,993,True,blue,0.05768147411146644,0.9998888551113889

26565946,2009-03-25 19:10:50+00:00,61422448,336,True,blue,0.39659934330751045,0.9999945297171812

44196397,2009-06-02 20:12:29+00:00,155125777,420,True,blue,1.0016334954326032,0.9999972925269354

268414482,2011-03-18 18:36:02+00:00,46534666,77,True,blue,0.3004702446348985,0.9999983453223326

3131144855,2015-04-01 20:15:49+00:00,4710455,463,True,government,0.030414993548931478,0.9999017176694649

288333760,2011-04-26 17:26:43+00:00,8293344,81,True,blue,0.05354939262960151,0.9999902332269237

382267114,2011-09-29 19:34:47+00:00,11477143,166,True,business,0.0741069026888409,0.9999855366793732

15485441,2008-07-18 19:46:50+00:00,50264139,10844,True,blue,0.3245511237083456,0.9997843062423313

20536157,2009-02-10 19:14:39+00:00,30358404,294,True,business,0.19602154395188057,0.9999903157902226

74286565,2009-09-14 22:35:42+00:00,13329862,2439,True,business,0.08606974628526264,0.9998170608359352

3004231,2007-03-30 19:05:42+00:00,20738978,2774,True,blue,0.13390975650577955,0.9998662600922044

15846407,2008-08-14 03:50:42+00:00,75178849,25375,True,blue,0.48542321439247244,0.9996625854420093

17842366,2008-12-03 17:38:39+00:00,9190221,618,True,business,0.05934044851893386,0.9999327591311304

25073877,2009-03-18 13:46:38+00:00,87263183,51,True,blue,0.5634506959527746,0.9999994155614265

25365536,2009-03-19 19:21:56+00:00,75121552,125,True,blue,0.4850532527039788,0.999998336032887

15492359,2008-07-19 13:22:50+00:00,11192069,689,True,business,0.07226620494924502,0.999938442339234

17471979,2008-11-18 21:28:10+00:00,29121017,195,True,business,0.18803184494774366,0.9999933038501282

11348282,2007-12-19 20:20:32+00:00,76277355,175,True,government,0.49251617099718736,0.9999977057463711

759251,2007-02-09 00:35:02+00:00,61636548,1091,True,business,0.39798176817279973,0.999982299776278

18735898,2009-01-07 20:09:17+00:00,280963,266,False,none,0.0018141533742469537,0.9990541515988749

84351228,2009-10-22 15:29:47+00:00,350826,746,False,none,0.0022652526192899485,0.9978781017828496

20609518,2009-02-11 18:34:22+00:00,18761569,0,True,blue,0.12114180054853146,1.0

1367531,2007-03-17 19:01:26+00:00,24100065,262,True,blue,0.15561199958471725,0.9999891287782112

79293791,2009-10-02 21:37:33+00:00,108292750,975,True,blue,0.6992367600679869,0.999990996708258

14230524,2008-03-26 22:37:48+00:00,83955599,114091,True,blue,0.5420939170380946,0.9986428997180792

133880286,2010-04-16 22:04:13+00:00,19230023,237,True,blue,0.1241665668159029,0.9999876756736519

23083404,2009-03-06 16:25:53+00:00,52707493,188,True,blue,0.3403276455406858,0.9999964331574368

21447363,2009-02-20 23:45:56+00:00,107195125,242,True,blue,0.692149492002769,0.9999977424397456

115485051,2010-02-18 20:17:16+00:00,27784302,1,True,blue,0.17940079378564575,0.9999999640084547

180505807,2010-08-19 20:11:11+00:00,33163578,245,True,business,0.21413430569435135,0.9999926124319262

23151437,2009-03-07 02:02:31+00:00,37010032,563,True,blue,0.23897052079379752,0.9999847881397206

7144422,2007-06-29 03:44:14+00:00,3786421,239,True,business,0.024448587299642745,0.9999368836916966

2367911,2007-03-26 22:30:49+00:00,17494417,29370,True,business,0.11295991155786801,0.9983239924110011

1344951,2007-03-17 09:57:25+00:00,10037783,454,True,business,0.06481308179158363,0.9999547729347295

14293310,2008-04-03 13:54:30+00:00,19342395,514,True,business,0.12489214293436292,0.9999734269545496

3108351,2007-04-01 06:22:13+00:00,20540035,1095,True,business,0.13262519905610534,0.9999466923192638

972651,2007-03-12 01:28:01+00:00,9148019,2673,True,business,0.05906795391750958,0.999707890944204

807095,2007-03-02 20:41:42+00:00,55034121,874,False,none,0.3553504778595941,0.999984119195432

5988062,2007-05-12 13:04:50+00:00,27165562,154,True,business,0.17540564403716796,0.9999943310899665

1652541,2007-03-20 17:46:05+00:00,25689441,1240,False,business,0.16587446059683317,0.9999517334709812

